date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate,Re,infections,observations,in_CI,above_1,block_size,exp_name
2020-07-21,1.194044200560969,1.3138859879213614,1.0742024132005767,1,1.204761904761905,760,742,TRUE,TRUE,14,14
2020-07-22,1.2065824836018995,1.3288623972933566,1.0843025699104423,1,1.2142857142857144,771,653,TRUE,TRUE,14,14
2020-07-23,1.2179139678315267,1.3407459440653404,1.095081991597713,1,1.223809523809524,820,567,TRUE,TRUE,14,14
2020-07-24,1.2248676521752364,1.3465536695011278,1.103181634849345,1,1.2333333333333334,891,769,TRUE,TRUE,14,14
2020-07-25,1.2277171601035024,1.3489231128065637,1.106511207400441,1,1.2428571428571429,891,650,TRUE,TRUE,14,14
2020-07-26,1.22984819915092,1.3520787805166667,1.1076176177851733,1,1.2523809523809524,935,373,TRUE,TRUE,14,14
2020-07-27,1.2356948364298854,1.360458684983775,1.1109309878759959,1,1.2619047619047619,1022,397,TRUE,TRUE,14,14
2020-07-28,1.2460917617927807,1.3738356814594839,1.1183478421260775,1,1.2714285714285714,1080,1274,TRUE,TRUE,14,14
2020-07-29,1.2559009407406738,1.3854964053262138,1.1263054761551339,1,1.280952380952381,1114,795,TRUE,TRUE,14,14
2020-07-30,1.2611911395606663,1.3916236881091437,1.130758591012189,1,1.2904761904761906,1251,985,TRUE,TRUE,14,14
2020-07-31,1.2628237886772602,1.3944545183890307,1.1311930589654897,1,1.3,1294,717,TRUE,TRUE,14,14
2020-08-01,1.2634978422597636,1.394755943160289,1.1322397413592382,1,1.3,1337,982,TRUE,TRUE,14,14
2020-08-02,1.2631156784533246,1.3935683790660927,1.1326629778405566,1,1.3,1484,851,TRUE,TRUE,14,14
2020-08-03,1.2635487007041366,1.3960789696035245,1.1310184318047487,1,1.3,1495,374,TRUE,TRUE,14,14
2020-08-04,1.2682280871216185,1.4039103832341107,1.1325457910091263,1,1.3,1571,1174,TRUE,TRUE,14,14
2020-08-05,1.2774985189535546,1.4163590745028545,1.1386379634042547,1,1.3,1740,1095,TRUE,TRUE,14,14
2020-08-06,1.2845429027887243,1.4273328640118927,1.1417529415655558,1,1.3,1805,985,TRUE,TRUE,14,14
2020-08-07,1.283115592262144,1.4266322655095676,1.1395989190147204,1,1.3,1886,1353,TRUE,TRUE,14,14
2020-08-08,1.2753005553902228,1.4149147086713094,1.1356864021091362,1,1.3,2013,1493,TRUE,TRUE,14,14
2020-08-09,1.2689514378745577,1.4045920039612496,1.1333108717878657,1,1.3,2104,1015,TRUE,TRUE,14,14
2020-08-10,1.2689763307164164,1.4018239598109548,1.136128701621878,1,1.280952380952381,2287,589,TRUE,TRUE,14,14
2020-08-11,1.2747555612368453,1.4036877997909432,1.1458233226827474,1,1.2619047619047619,2392,2266,TRUE,TRUE,14,14
2020-08-12,1.2816945291458886,1.405851441706839,1.157537616584938,1,1.2428571428571429,2407,1971,TRUE,TRUE,14,14
2020-08-13,1.284874520248049,1.4036846378027783,1.1660644026933196,1,1.223809523809524,2458,1193,TRUE,TRUE,14,14
2020-08-14,1.2803996974933523,1.3938637053855796,1.166935689601125,1,1.2047619047619047,2602,1429,TRUE,TRUE,14,14
2020-08-15,1.264933859986481,1.3752661432235656,1.1546015767493965,1,1.1857142857142857,2715,2054,TRUE,TRUE,14,14
2020-08-16,1.238604428783273,1.3477406477749303,1.1294682097916156,1,1.1666666666666667,2796,1111,TRUE,TRUE,14,14
2020-08-17,1.2062986997105465,1.3151518507797053,1.0974455486413877,1,1.1476190476190475,2917,993,TRUE,TRUE,14,14
2020-08-18,1.1753835312822316,1.2850463164117225,1.0657207461527407,1,1.1285714285714286,2924,3117,TRUE,TRUE,14,14
2020-08-19,1.1486129377211507,1.258283176046934,1.0389426993953674,1,1.1095238095238096,2964,2374,TRUE,TRUE,14,14
2020-08-20,1.122604028584827,1.2297567945022707,1.0154512626673835,1,1.0904761904761906,2930,2455,TRUE,TRUE,14,14
2020-08-21,1.0934666107619484,1.1972126957579619,0.9897205257659349,1,1.0714285714285714,2964,2595,TRUE,TRUE,14,14
2020-08-22,1.0617699614214913,1.1618567595228246,0.9616831633201578,1,1.0523809523809524,3006,2692,TRUE,TRUE,14,14
2020-08-23,1.0300154268852841,1.1258610242541969,0.9341698295163713,1,1.0333333333333332,2961,1479,TRUE,TRUE,14,14
2020-08-24,1.0017455454990523,1.0947101325345072,0.9087809584635973,1,1.0142857142857142,2951,1412,TRUE,TRUE,14,14
2020-08-25,0.9797439583154917,1.0721149714313234,0.8873729451996599,1,0.9952380952380953,2901,4753,TRUE,FALSE,14,14
2020-08-26,0.9657008458928237,1.0579598832296782,0.8734418085559692,1,0.9761904761904763,2984,2565,TRUE,FALSE,14,14
2020-08-27,0.957621742047183,1.0495056094076738,0.865737874686692,1,0.9571428571428572,2894,2576,TRUE,FALSE,14,14
2020-08-28,0.9513341621303978,1.0423606877700375,0.860307636490758,1,0.9380952380952381,2766,4358,TRUE,FALSE,14,14
2020-08-29,0.9442007581538872,1.033183461674098,0.8552180546336762,1,0.9190476190476191,2670,3601,TRUE,FALSE,14,14
2020-08-30,0.9357314512082213,1.0226995382049355,0.8487633642115072,1,0.9,2614,2400,TRUE,FALSE,14,14
2020-08-31,0.9267333130601642,1.0136100477772603,0.8398565783430681,1,0.9,2641,1677,TRUE,FALSE,14,14
2020-09-01,0.9183764273055968,1.006776010238896,0.8299768443722976,1,0.9,2478,3187,TRUE,FALSE,14,14
2020-09-02,0.9117584182315518,1.0026590358498542,0.8208578006132493,1,0.9,2493,3536,TRUE,FALSE,14,14
2020-09-03,0.9063289472801039,1.000059406081592,0.8125984884786159,1,0.9,2333,3625,TRUE,FALSE,14,14
2020-09-04,0.8993809928903252,0.9948594677736488,0.8039025180070017,1,0.9,2375,3015,TRUE,FALSE,14,14
2020-09-05,0.8917478834012894,0.9871647982747724,0.7963309685278064,1,0.9,2403,3377,TRUE,FALSE,14,14
2020-09-06,0.8891222566708947,0.9827265211666933,0.7955179921750961,1,0.9,2294,1597,TRUE,FALSE,14,14
2020-09-07,0.896634342086804,0.9874055434074132,0.8058631407661949,1,0.9,2177,1286,TRUE,FALSE,14,14
2020-09-08,0.9128723818670866,1.0023175533717266,0.8234272103624467,1,0.9,2183,4792,TRUE,FALSE,14,14
2020-09-09,0.9323751626705388,1.0244470891693915,0.840303236171686,1,0.9,2155,2901,TRUE,FALSE,14,14
2020-09-10,0.9530547916521499,1.0500449665024598,0.8560646168018399,1,0.9,2034,2660,TRUE,FALSE,14,14
2020-09-11,0.9713137581822668,1.0719439792499763,0.8706835371145575,1,0.9,2040,3629,TRUE,FALSE,14,14
2020-09-12,0.9810980924288167,1.0820382602986363,0.8801579245589971,1,0.9,2066,2811,TRUE,FALSE,14,14
2020-09-13,0.9798564254905799,1.0783426338290663,0.8813702171520936,1,0.9,1953,1489,TRUE,FALSE,14,14
2020-09-14,0.9730630861707794,1.0694248574493144,0.8767013148922445,1,0.9,1996,1229,TRUE,FALSE,14,14
2020-09-15,0.9657745816464474,1.0626629226591655,0.8688862406337292,1,0.9,1936,4268,TRUE,FALSE,14,14
2020-09-16,0.9534692516189319,1.0512560791692795,0.8556824240685842,1,0.9,1833,2539,TRUE,FALSE,14,14
2020-09-17,0.9301908440130552,1.0263002856257692,0.8340814024003412,1,0.9,1820,2022,TRUE,FALSE,14,14
2020-09-18,0.8972806760146209,0.9894513417760912,0.8051100102531507,1,0.9,1743,2165,TRUE,FALSE,14,14
2020-09-19,0.8592514979726745,0.9468283712469999,0.7716746246983491,1,0.9,1782,1797,TRUE,FALSE,14,14
2020-09-20,0.8198824153728207,0.9050778731624822,0.7346869575831592,1,0.9,1684,1146,TRUE,FALSE,14,14
2020-09-21,0.7823077719663746,0.8697555062387631,0.6948600376939861,1,0.9,1693,1263,FALSE,FALSE,14,14
2020-09-22,0.7529731676283579,0.8455760697970067,0.660370265459709,1,0.9,1628,5947,FALSE,FALSE,14,14
2020-09-23,0.7373327649935257,0.8341298863734576,0.6405356436135938,1,0.9,1582,2680,FALSE,FALSE,14,14
2020-09-24,0.7357134378944008,0.8341759486947659,0.6372509270940357,1,0.9,1489,1532,FALSE,FALSE,14,14
2020-09-25,0.7456198760834989,0.8438854294592391,0.6473543227077587,1,0.9,1497,2457,FALSE,FALSE,14,14
2020-09-26,0.7656288906665424,0.8634900717238122,0.6677677096092726,1,0.9,1473,2475,FALSE,FALSE,14,14
2020-09-27,0.7972423113897504,0.8953061237225053,0.6991784990569956,1,0.9,1365,1918,FALSE,FALSE,14,14
2020-09-28,0.8412562776745525,0.9397241956613771,0.7427883596877278,1,0.9,1309,775,TRUE,FALSE,14,14
